task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,35.60,57.00,1
Task_1,Camera_Sensor,1,99.00,124.00,1
Task_2,Camera_Sensor,1,10.26,20.00,1
Task_3,Camera_Sensor,1,9.79,24.00,1
Task_4,Camera_Sensor,1,25.69,35.00,1
Task_5,Image_Processor,1,8.74,14.00,1
Task_6,Image_Processor,1,28.85,37.00,1
Task_7,Image_Processor,1,36.85,65.00,1
Task_8,Bitmap_Processor,1,47.29,70.00,1
Task_9,Bitmap_Processor,1,134.78,210.00,1
Task_10,Bitmap_Processor,1,37.34,42.00,1
Task_11,Bitmap_Processor,1,453.13,596.00,1
Task_12,Lidar_Sensor,1,58.35,75.00,0
Task_13,Lidar_Sensor,1,37.00,37.00,0
Task_14,Lidar_Sensor,1,65.03,88.00,0
Task_15,Lidar_Sensor,0,1273.48,1942.00,0
Task_16,Control_Unit,1,65.82,97.00,1
Task_17,Control_Unit,1,18.79,38.00,1
Task_18,Control_Unit,1,260.70,585.00,1
Task_19,Control_Unit,1,44.78,52.00,1
Task_20,Control_Unit,1,260.44,268.00,1
Task_21,Control_Unit,1,10.44,28.00,1
Task_22,GPS_Sensor,1,25.51,33.00,1
Task_23,GPS_Sensor,1,49.03,54.00,1
Task_24,Communication_Unit,1,14.25,20.00,1
Task_25,Communication_Unit,1,44.34,50.00,1
Task_26,Communication_Unit,1,261.00,261.00,1
Task_27,Communication_Unit,1,9.60,11.00,1
