task_name,component_id,wcrt,deadline,task_schedulable
Task_0,Camera_Sensor,3.00,20.00,1
Task_1,Camera_Sensor,13.00,60.00,1
Task_4,Bitmap_Processor,10.00,100.00,1
Task_5,Bitmap_Processor,49.00,300.00,1
Task_6,Lidar_Sensor,40.00,200.00,1
Task_7,Lidar_Sensor,4.00,100.00,1
Task_8,Lidar_Sensor,2.00,25.00,1
Task_9,Lidar_Sensor,80.00,400.00,1
Task_16,GPS_Sensor,5.00,125.00,1
Task_17,GPS_Sensor,20.00,250.00,1
Task_18,Communication_Unit,8.00,400.00,1
Task_19,Communication_Unit,4.00,100.00,1
Task_20,Communication_Unit,38.00,900.00,1
Task_21,Communication_Unit,2.00,50.00,1
Task_28,Sonar_Sensor,4.00,25.00,1
Task_29,Sonar_Sensor,12.00,75.00,1
Task_30,Laser_Sensor,1.00,10.00,1
Task_31,Laser_Sensor,12.00,100.00,1
Task_32,Laser_Sensor,45.00,300.00,1
Task_33,Laser_Sensor,3.00,50.00,1
Task_34,Infrared_Sensor,2.00,20.00,1
Task_35,Infrared_Sensor,4.00,25.00,1
Task_36,Infrared_Sensor,6.00,100.00,1
Task_49,Pressure_Sensor,2.00,40.00,1
Task_50,Pressure_Sensor,3.00,50.00,1
Task_51,Pressure_Sensor,7.00,100.00,1
Task_52,Humidity_Sensor,56.00,100.00,1
Task_53,Humidity_Sensor,81.00,200.00,1
Task_58,Light_Sensor,5.00,100.00,1
Task_59,Light_Sensor,1.00,50.00,1
Task_60,Light_Sensor,13.00,200.00,1
