task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,8.92,11.00,1
Task_1,Camera_Sensor,1,55.00,55.00,1
Task_2,Image_Processor,1,29.00,29.00,1
Task_3,Image_Processor,1,152.00,152.00,1
Task_4,Bitmap_Processor,1,43.60,52.00,0
Task_5,Bitmap_Processor,0,345.00,345.00,0
Task_6,Lidar_Sensor,1,148.50,149.00,0
Task_7,Lidar_Sensor,1,11.00,12.00,0
Task_8,Lidar_Sensor,1,5.00,6.00,0
Task_9,Lidar_Sensor,0,0.00,0.00,0
Task_10,Control_Unit,1,26.40,65.00,0
Task_11,Control_Unit,1,139.00,151.00,0
Task_12,Control_Unit,1,226.00,226.00,0
Task_13,Control_Unit,1,22.29,41.00,0
Task_14,Control_Unit,1,197.50,198.00,0
Task_15,Control_Unit,0,117.67,163.00,0
Task_16,GPS_Sensor,1,21.00,21.00,1
Task_17,GPS_Sensor,1,96.00,96.00,1
Task_18,Communication_Unit,1,22.00,22.00,1
Task_19,Communication_Unit,1,11.00,11.00,1
Task_20,Communication_Unit,1,142.00,142.00,1
Task_21,Communication_Unit,1,2.00,2.00,1
Task_22,Proximity_Sensor,1,25.75,46.00,1
Task_23,Proximity_Sensor,1,27.00,29.00,1
Task_24,Proximity_Sensor,1,41.67,55.00,1
Task_25,Radar_Sensor,0,44.20,107.00,0
Task_26,Radar_Sensor,0,116.00,197.00,0
Task_27,Radar_Sensor,0,405.00,405.00,0
Task_28,Sonar_Sensor,1,13.55,16.00,0
Task_29,Sonar_Sensor,0,106.40,142.00,0
Task_30,Laser_Sensor,1,1.51,3.00,1
Task_31,Laser_Sensor,1,25.00,25.00,1
Task_32,Laser_Sensor,1,129.00,129.00,1
Task_33,Laser_Sensor,1,4.80,7.00,1
Task_34,Infrared_Sensor,1,3.28,5.00,1
Task_35,Infrared_Sensor,1,4.85,10.00,1
Task_36,Infrared_Sensor,1,15.20,16.00,1
Task_37,Ultraviolet_Sensor,1,5.00,12.00,1
Task_38,Ultraviolet_Sensor,1,6.00,13.00,1
Task_39,Ultraviolet_Sensor,1,26.00,33.00,1
Task_40,Ultraviolet_Sensor,1,78.00,78.00,1
Task_41,Ultraviolet_Sensor,1,17.00,27.00,1
Task_42,Ultraviolet_Sensor,1,333.00,333.00,1
Task_43,Ultraviolet_Sensor,1,153.00,153.00,1
Task_44,Ultraviolet_Sensor,1,36.00,49.00,1
Task_45,Thermal_Sensor,1,7.60,20.00,1
Task_46,Thermal_Sensor,1,7.00,7.00,1
Task_47,Thermal_Sensor,1,42.00,44.00,1
Task_48,Thermal_Sensor,1,47.00,49.00,1
Task_49,Pressure_Sensor,1,7.62,14.00,1
Task_50,Pressure_Sensor,1,6.18,15.00,1
Task_51,Pressure_Sensor,1,48.80,64.00,1
Task_52,Humidity_Sensor,0,105.50,113.00,0
Task_53,Humidity_Sensor,0,0.00,0.00,0
Task_54,Temperature_Sensor,1,2.85,6.00,1
Task_55,Temperature_Sensor,1,25.80,29.00,1
Task_56,Temperature_Sensor,1,59.67,79.00,1
Task_57,Temperature_Sensor,1,5.14,8.00,1
Task_58,Light_Sensor,1,10.00,15.00,1
Task_59,Light_Sensor,1,1.18,3.00,1
Task_60,Light_Sensor,1,48.33,54.00,1
